序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
12,002108,沧州明珠,10.059171676635742,5.58,5.58,1322939248,9193039989.48,9199178000.64,14.596061706542969,0.0,是,3.475435256958008,1/1,60日新高,塑料
14,605388,均瑶健康,10.049627304077148,8.87,8.87,408917216,5326293080.0,5326293080.0,7.757967948913574,0.0,是,1.8787811994552612,3/3,60日新高且近期多次涨停,饮料乳品
15,600707,彩虹股份,10.028247833251953,7.79,7.79,906299360,27947947212.28,27953555981.12,3.3049612045288086,0.0,是,0.8541143536567688,1/1,60日新高,光学光电
16,600330,天通股份,10.02531623840332,21.73,21.73,820489792,26802529859.68,26802529859.68,3.0612401962280273,0.0,是,0.21712446212768555,1/1,60日新高,电子化学
17,002802,洪汇新材,10.020174980163574,16.36,16.36,301648672,2448817266.52,2965182760.4,12.67688274383545,0.0,是,2.712161064147949,2/2,60日新高且近期多次涨停,化学制品
18,003018,金富科技,10.01402473449707,39.22,39.22,584491936,9310337750.0,10197200000.0,6.557252407073975,0.0,是,1.03489089012146,1/1,60日新高,包装印刷
19,002297,博云新材,10.01243782043457,17.69,17.69,2008313200,10138224248.11,10138224195.04,20.1871280670166,0.0,是,3.106837749481201,5/5,60日新高且近期多次涨停,航空装备
20,600961,株冶集团,10.009960174560547,22.09,22.09,103042803,16607535871.82,23699758031.36,0.6204581260681152,0.0,否,0.248734250664711,2/2,近期多次涨停,工业金属
21,603203,快克智能,10.009119987487793,48.25,48.25,378118800,12021647593.5,12239148943.5,3.2498066425323486,0.0,是,1.4352651834487915,1/1,60日新高,自动化设
22,600641,先导基电,10.009057998657227,24.29,24.29,1334186880,22605000756.8,22605000756.8,6.069264888763428,0.0,是,1.0919996500015259,1/1,60日新高,半导体
23,002428,云南锗业,10.007097244262695,62.0,62.0,6170237696,40488208750.0,40493440000.0,15.394145011901855,0.0,是,1.090551495552063,1/1,60日新高,小金属
24,605298,必得科技,10.006027221679688,54.75,54.75,187793749,10197242250.0,10284787500.0,1.8869595527648926,0.0,是,1.7083433866500854,1/1,60日新高,轨交设备
25,603629,利通电子,10.005216598510742,105.44,105.44,3746978656,27082474880.0,27659020800.0,14.498740196228027,0.0,是,0.8765400052070618,8/4,60日新高且近期多次涨停,消费电子
26,003031,中瓷电子,10.004890441894531,112.48,112.48,1587774448,38260825166.08,50734426142.72,4.270517826080322,0.0,是,0.9366936683654785,1/1,60日新高,通信设备
27,002980,华盛昌,10.004512786865234,73.12,73.12,1371570640,7413632705.280001,13849012819.2,19.079702377319336,0.0,是,0.9545246958732605,10/5,60日新高且近期多次涨停,电网设备
28,002866,传艺科技,10.004168510437012,26.39,26.39,1099079248,4782198033.34,7640492335.84,24.34623146057129,0.0,是,1.1368017196655273,1/1,60日新高,消费电子
29,603052,可川科技,10.003959655761719,83.35,83.35,911644784,15661238454.699999,15661238454.699999,5.988292694091797,0.0,是,1.1281242370605469,2/2,60日新高且近期多次涨停,消费电子
30,001389,广合科技,10.00368595123291,149.22,149.22,1548802320,22673298258.36,70502715918.72,6.972148895263672,0.0,是,0.9237573742866516,1/1,60日新高,元件
31,002957,科瑞技术,10.00239372253418,45.97,45.97,1052518528,19246667286.14,19306593870.079998,5.632567405700684,0.0,是,0.5648543834686279,1/1,60日新高,自动化设
32,002975,博杰股份,10.002201080322266,99.97,99.97,1315139360,10582722230.6,16025450222.21,12.935525894165039,0.0,是,1.048669695854187,1/1,60日新高,自动化设
33,603773,沃格光电,10.002079963684082,52.9,52.9,1130556688,11884441685.699999,11888567885.699999,9.73692512512207,0.0,是,0.7977913022041321,7/4,60日新高且近期多次涨停,光学光电
34,603083,剑桥科技,10.001514434814453,145.29,145.29,3382881456,40040234713.17,51236571966.71999,8.54732894897461,0.0,是,0.5549020767211914,1/1,60日新高,通信设备
35,001400,江顺科技,10.0,193.6,193.6,505325952,2904000000.0,11616000000.0,18.14340591430664,0.0,是,1.010450839996338,1/1,60日新高,专用设备
36,002487,大金重工,10.0,85.47,85.47,1119224848,53924755135.02,54508436431.68,2.0791425704956055,0.0,是,0.7004348635673523,1/1,60日新高,风电设备
37,002580,圣阳股份,10.0,30.58,30.58,2496919984,13832520504.0,13879313775.359999,18.180532455444336,0.0,是,0.6408621668815613,17/9,60日新高且近期多次涨停,电池
38,002940,昂利康,10.0,39.16,39.16,1503537968,7255387287.719999,7899675763.759999,21.418621063232422,0.0,是,2.4594953060150146,2/2,60日新高且近期多次涨停,化学制药
39,600683,京投发展,10.0,11.99,11.99,325826736,8881923388.03,8881923424.0,3.6845791339874268,0.0,是,1.178676724433899,3/3,60日新高且近期多次涨停,房地产开
40,603118,共进股份,10.0,15.18,15.18,1066308352,11950855843.08,11950855752.0,9.047246932983398,0.0,是,1.1115862131118774,1/1,60日新高,通信设备
41,002281,光迅科技,9.999058723449707,116.83,116.83,7116610048,91066339851.97,94243929040.8,8.00037670135498,0.0,是,0.9148127436637878,1/1,60日新高,通信设备
42,002990,盛视科技,9.995682716369629,50.95,50.95,905291328,6918939332.35,13341366431.1,13.265801429748535,0.0,是,0.8508248329162598,4/4,60日新高且近期多次涨停,计算机设
43,600234,科新发展,9.994478225708008,19.92,19.92,136233171,5229417782.160001,5229417782.160001,2.636134147644043,0.0,是,1.0521612167358398,1/1,60日新高,装修装饰
44,002203,海亮股份,9.993674278259277,17.39,17.39,916307072,38469136667.91,39853624319.200005,2.38979172706604,0.0,是,1.2609244585037231,1/1,60日新高,工业金属
45,603063,禾望电气,9.989171028137207,40.63,40.63,2598027392,18641084304.960003,18641084304.960003,14.59664535522461,0.0,是,1.2327145338058472,3/2,60日新高且近期多次涨停,风电设备
46,603738,泰晶科技,9.989063262939453,30.17,30.17,1825772720,11642225633.640001,11642225512.960001,16.283411026000977,0.0,是,1.4864882230758667,1/1,60日新高,元件
47,600156,华升股份,9.97624683380127,9.26,9.26,377621632,3723545100.52,3723545119.04,10.195714950561523,0.0,是,2.41357159614563,6/3,60日新高且近期多次涨停,纺织制造
48,603315,福鞍股份,9.97624683380127,18.52,18.52,1225220528,5933183209.28,5933183357.44,20.957355499267578,0.0,是,2.957993268966675,2/2,60日新高且近期多次涨停,环境治理
49,600152,维科技术,9.968354225158691,13.9,13.9,1534751472,7354203312.5,7354203326.400001,21.96986198425293,0.0,是,0.9649333953857422,5/3,60日新高且近期多次涨停,电池
50,002418,康盛股份,9.946714401245117,6.19,6.19,1393315136,7034299522.22,7034316000.0,21.045146942138672,0.0,否,0.924344003200531,6/3,近期多次涨停,家电零部
59,603698,航天工程,8.478158950805664,46.19,46.84,2992327360,24757378100.0,24757378100.0,12.354127883911133,0.32580363750457764,是,1.8390549421310425,4/2,60日新高且近期多次涨停,专用设备
60,002859,洁美科技,8.396286964416504,50.22,50.96,1291584512,20384266260.96,21656196236.16,6.446601867675781,-0.8685353398323059,是,2.8039376735687256,2/1,60日新高,其他电子
61,002384,东山精密,8.391841888427734,162.1,164.51,18995009792,224722751298.3,296903581585.6,8.622953414916992,0.0,是,1.1879042387008667,0/0,60日新高,元件
66,002515,金字火腿,8.108107566833496,6.4,6.51,843243920,7747837913.6,7747930624.0,11.084295272827148,0.15649452805519104,是,2.1101362705230713,0/0,60日新高,食品加工
68,601208,东材科技,7.997647762298584,36.73,37.41,3473139360,37104019496.39,37104019533.119995,9.477861404418945,0.05448106676340103,是,1.7878385782241821,0/0,60日新高,塑料
73,603375,盛景微,7.701988697052002,42.79,43.7,369322336,2729185951.91,4307526680.93,13.73705005645752,0.0,是,4.987137794494629,0/0,60日新高,半导体
77,603045,福达合金,7.413997650146484,36.22,37.09,317934704,4905823514.099999,4905823514.099999,6.609346866607666,0.05524861812591553,是,1.082457423210144,0/0,60日新高,金属新材
80,000967,盈峰环境,7.115531921386719,14.0,14.38,4854358528,44315950434.0,44337222720.0,11.181927680969238,0.2865329682826996,是,1.598151445388794,4/2,60日新高且近期多次涨停,环保设备
83,002708,光洋股份,6.8214802742004395,14.72,15.16,802975296,7605184430.72,8274082088.96,10.670899391174316,0.13605442643165588,是,2.529426336288452,0/0,60日新高,汽车零部
84,605222,起帆电缆,6.726794719696045,28.4,29.27,734485872,11726454486.8,11726454515.199999,6.498815536499023,0.0,是,1.2187659740447998,0/0,60日新高,电网设备
86,002565,顺灏股份,6.591549396514893,18.92,19.53,5580062976,20054139004.24,20054990517.760002,28.848690032958984,0.05288207158446312,是,1.5238783359527588,0/0,60日新高,包装印刷
88,600773,西藏城投,6.392045497894287,22.47,23.23,1364494688,21382156856.55,21382156834.079998,6.413211822509766,0.22301515936851501,是,1.2293763160705566,0/0,60日新高,房地产开
93,002222,福晶科技,5.959336280822754,90.68,94.14,2947530368,42451997425.520004,42642270000.0,7.017967700958252,0.07725416868925095,是,0.9841406941413879,0/0,60日新高,光学光电
94,600103,青山纸业,5.911330223083496,4.3,4.47,2204139312,9513014902.1,9635555033.6,23.0982666015625,0.0,是,1.792068362236023,0/0,60日新高,造纸
98,603165,荣晟环保,5.822784900665283,16.72,17.38,324633888,5357840032.16,5357839998.719999,6.175727367401123,0.0,是,1.601347804069519,0/0,60日新高,造纸
99,000889,中嘉博创,5.799999713897705,5.29,5.5,1420518480,4601504786.04,4952980024.8,31.689828872680664,0.0,是,1.1689870357513428,8/5,60日新高且近期多次涨停,通信服务
100,603950,长源东谷,5.774533748626709,65.21,67.82,1423054672,21102399427.999996,21136569467.999996,6.937061309814453,0.32307690382003784,是,1.1193093061447144,8/5,60日新高且近期多次涨停,汽车零部
101,002192,融捷股份,5.6610846519470215,84.55,88.02,3486008816,21908399674.899998,21953847413.649998,15.793052673339844,0.18959592282772064,是,1.0313104391098022,0/0,60日新高,能源金属
102,002290,禾盛新材,5.628810405731201,74.5,77.58,915033648,18416106097.5,18484368585.0,5.071991443634033,0.026852846145629883,是,1.3666802644729614,0/0,60日新高,家电零部
105,605589,圣泉集团,5.346426963806152,38.62,40.33,1813033264,32579831922.76,32687523715.519997,5.657232284545898,0.10368066281080246,是,1.248599648475647,0/0,60日新高,塑料
106,002810,山东赫达,5.310457706451416,25.78,26.93,510567520,8342285441.88,9002192858.880001,6.182095527648926,0.0,是,1.313156247138977,0/0,60日新高,化学制品
108,605058,澳弘电子,5.125348091125488,37.74,39.49,338459136,5393949873.0,5393949873.0,6.430962562561035,0.053022272884845734,是,1.6275454759597778,0/0,60日新高,元件
109,002124,天邦食品,5.1194539070129395,3.08,3.22,1301345808,6074852315.84,6843556227.2,22.2030086517334,-0.6451612710952759,是,1.8529136180877686,5/3,60日新高且近期多次涨停,养殖业
112,002875,安奈儿,5.097665786743164,22.06,23.09,492615536,4024550557.72,4699152196.32,12.593472480773926,-0.226142019033432,是,3.036198377609253,2/1,60日新高,服装家纺
120,600539,狮头股份,4.917025089263916,17.07,17.9,398220448,3926100000.0,3926100000.0,10.189656257629395,0.17605634033679962,是,0.905038058757782,0/0,60日新高,互联网电
123,002559,亚威股份,4.784688949584961,10.95,11.5,507748208,5519580286.049999,6019927012.799999,9.261088371276855,-0.09124087542295456,是,2.0122079849243164,0/0,60日新高,通用设备
124,001300,三柏硕,4.702549457550049,18.48,19.42,215667305,4504978890.72,4504978890.72,4.833661079406738,0.0,是,1.997079610824585,0/0,60日新高,文娱用品
125,000628,高新发展,4.669859409332275,61.19,64.31,1597946800,11763079016.15,21556013200.0,13.390731811523438,0.0,是,2.2354557514190674,0/0,60日新高,房屋建设
126,600105,永鼎股份,4.636432647705078,41.3,43.42,6937595136,60380385322.6,60380385239.99999,11.44949722290039,-0.024207213893532753,是,0.7839599251747131,0/0,60日新高,通信设备
132,603281,江瀚新材,4.256495475769043,37.72,39.8,156193333,14082133358.48,14082133132.16,1.129226803779602,-0.079470194876194,是,1.0490498542785645,0/0,60日新高,化学制品
135,002787,华源控股,4.046597480773926,16.97,17.94,634356032,4257096134.58,5687946766.24,14.88611888885498,0.0,是,0.9630730748176575,0/0,60日新高,包装印刷
137,003022,联泓新科,4.0184760093688965,22.52,23.82,513952368,30051404699.0,30076991360.0,1.715850830078125,0.04442470148205757,是,1.769152045249939,0/0,60日新高,光伏设备
138,603306,华懋科技,4.015755653381348,108.27,114.5,1567661792,35674406868.15,35674407192.96,4.439279079437256,0.82883220911026,是,0.7740939259529114,0/0,60日新高,汽车零部
139,000062,深圳华强,3.9832286834716797,29.76,31.48,2572790176,31096226291.52,31126261601.280003,8.159462928771973,0.13458949327468872,是,1.7126286029815674,0/0,60日新高,其他电子
142,002962,五方光电,3.8922157287597656,17.35,18.37,855073520,3629342486.7500005,5060393996.0,23.530221939086914,-0.057603687047958374,是,1.2249855995178223,0/0,60日新高,光学光电
145,603335,迪生力,3.8338656425476074,6.5,6.89,281321296,2782939900.0,2782939952.0,10.27893352508545,0.3086419701576233,是,1.5953924655914307,0/0,60日新高,汽车零部
146,601778,晶科科技,3.753753662109375,6.91,7.33,7740995328,24686595103.4,24686595131.04,30.540115356445312,0.14492754638195038,是,2.280043601989746,4/2,60日新高且近期多次涨停,电力
147,603906,龙蟠科技,3.752495050430298,25.99,27.56,3158373200,14686400688.97,17805200507.039997,21.470556259155273,0.0,是,2.747331142425537,2/1,60日新高,电池
148,603256,宏和科技,3.743842124938965,105.3,111.65,3525942720,92635305750.0,95252952974.4,3.790072202682495,0.0,是,0.9885861277580261,0/0,60日新高,玻璃玻纤
149,002183,怡 亚 通,3.728813648223877,6.12,6.49,1924906352,15893603836.92,15893695618.56,11.896529197692871,0.0,是,1.8479030132293701,0/0,60日新高,贸易Ⅱ
150,002687,乔治白,3.673469305038452,5.08,5.39,287979616,2100039167.96,2564279799.04,13.417708396911621,-0.1964636594057083,是,5.930141925811768,0/0,60日新高,服装家纺
152,001313,粤海饲料,3.5626535415649414,8.43,8.95,210118352,5893630923.929999,5901000000.0,3.5461854934692383,0.2378121316432953,是,1.6850452423095703,0/0,60日新高,饲料
153,003023,彩虹集团,3.5534818172454834,28.85,30.65,177056386,3032195988.9,3039105160.0,6.002971649169922,0.034674063324928284,是,1.351474642753601,0/0,60日新高,小家电
154,603409,汇通控股,3.543400764465332,43.54,46.26,207102875,1574593970.32,5487346200.0,13.244942665100098,0.0,是,1.4262617826461792,0/0,60日新高,汽车零部
155,603010,万盛股份,3.542673110961914,12.86,13.66,233408225,7523489567.98,7523489503.679999,3.143310546875,0.0,是,1.2149922847747803,0/0,60日新高,化学制品
158,600666,奥瑞德,3.5036497116088867,7.09,7.54,5916884224,17740977073.94,19507762009.28,33.81391143798828,-0.14084506034851074,是,1.5620369911193848,2/1,60日新高,光学光电
