序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
1,非金属材料,3.72,159.71,57.07,1.83,12,2,35.73,天马新材,29.95,16.67
2,元件,2.58,1739.46,1076.34,91.61,48,13,61.88,则成电子,25.1,15.14
3,通信设备,2.38,2672.44,1964.69,92.31,59,28,73.52,利尔达,11.42,16.89
4,塑料制品,2.17,2105.75,330.0,3.12,56,23,15.67,斯迪克,65.27,20.0
5,电子化学品,2.06,677.67,274.82,2.55,31,8,40.55,唯特偶,68.39,20.0
6,电池,2.03,2941.14,1143.22,-34.52,73,30,38.87,尚水智能,103.1,286.72
7,风电设备,1.98,1203.29,223.93,0.92,24,6,18.61,大金重工,85.47,10.0
8,其他电子,1.9,867.11,249.86,7.59,22,13,28.82,赛英电子,73.97,14.7
9,半导体,1.89,2434.73,2170.1,10.98,127,49,89.13,创达新材,63.83,30.0
10,自动化设备,1.75,980.65,493.93,17.05,69,22,50.37,快克智能,48.25,10.01
11,光学光电子,1.67,4317.14,561.35,16.73,72,33,13.0,茂莱光学,411.11,16.33
12,金属新材料,1.62,327.46,82.73,5.89,24,7,25.26,族兴新材,26.18,10.32
13,橡胶制品,1.56,232.34,40.19,-0.91,13,8,17.3,利通科技,32.1,12.32
14,能源金属,1.52,594.59,369.55,-12.48,9,3,62.15,远航精密,26.26,7.18
15,工业金属,1.38,3393.3,423.21,0.7,36,20,12.47,株冶集团,22.09,10.01
16,通用设备,1.33,3666.75,710.55,3.54,164,81,19.38,优利德,77.8,20.01
17,军工电子,1.27,1259.32,370.52,12.49,46,14,29.42,国博电子,135.05,6.43
18,影视院线,1.26,1434.58,100.74,2.71,13,6,7.02,博纳影业,8.23,10.03
19,消费电子,1.21,2037.04,751.63,25.84,57,35,36.9,利通电子,105.44,10.01
20,专用设备,1.17,2091.39,496.24,5.2,113,80,23.73,泰金新能,76.36,15.71
21,小金属,1.11,1250.47,567.61,-14.36,18,10,45.39,云南锗业,62.0,10.01
22,光伏设备,1.1,2386.81,522.22,-15.97,43,29,21.88,帝尔激光,99.36,20.0
23,黑色家电,1.04,334.54,37.0,1.02,6,3,11.06,兆驰股份,10.67,4.92
24,工程机械,0.91,674.47,96.73,-9.8,17,18,14.34,万通液压,35.54,8.82
25,电机,0.9,313.19,61.93,-1.23,17,9,19.77,华瑞股份,28.2,7.84
26,汽车零部件,0.86,3298.3,652.58,-10.98,141,123,19.79,建邦科技,27.3,16.37
27,化学纤维,0.85,1039.8,97.47,-6.52,13,12,9.37,宝丽迪,55.58,19.99
28,白色家电,0.75,818.53,179.55,-5.78,20,23,21.93,康盛股份,6.19,9.95
29,互联网电商,0.61,321.4,41.95,-1.78,10,9,13.05,狮头股份,17.07,4.92
30,包装印刷,0.56,914.02,140.97,1.75,16,29,15.42,金富科技,39.22,10.01
31,军工装备,0.53,1456.38,456.4,-0.13,47,33,31.34,博云新材,17.69,10.01
32,计算机设备,0.53,1096.64,385.74,-2.79,38,45,35.17,盛视科技,50.95,10.0
33,轨交设备,0.49,419.45,39.01,-5.08,16,14,9.3,必得科技,54.75,10.01
34,环保设备,0.47,617.92,88.14,-2.74,11,18,14.26,ST雪浪,15.93,10.47
35,房地产,0.46,3247.86,161.92,10.23,42,38,4.99,衢州发展,3.58,10.15
36,电网设备,0.45,3772.91,605.1,-41.48,59,78,16.04,良信股份,11.21,10.01
37,其他电源设备,0.45,839.22,257.72,-13.49,16,17,30.71,华塑科技,85.74,7.85
38,其他社会服务,0.39,790.57,87.3,-5.83,21,17,11.04,实朴检测,57.91,8.73
39,纺织制造,0.38,476.88,47.86,-4.18,13,18,10.04,华升股份,9.26,9.98
40,化学制品,0.34,1967.08,367.06,-18.24,87,84,18.66,洪汇新材,16.36,10.02
41,饮料制造,0.27,464.75,68.44,-7.19,14,31,14.72,均瑶健康,8.87,10.05
42,造纸,0.16,892.41,51.0,0.15,10,14,5.71,民士达,49.73,7.25
43,多元金融,0.06,929.68,99.52,-3.79,10,16,10.71,拉卡拉,26.99,6.85
44,电力,0.02,7198.72,538.62,-31.99,40,62,7.48,深南电A,11.07,10.04
45,化学原料,-0.02,1451.99,152.11,-12.55,24,32,10.48,佳先股份,15.39,9.69
46,IT服务,-0.03,3689.06,650.87,-36.64,42,84,17.64,品高股份,101.36,20.0
47,建筑装饰,-0.03,4318.92,319.44,-24.91,55,92,7.4,金螳螂,3.71,10.09
48,燃气,-0.05,401.97,44.25,-4.15,6,21,11.01,升达林业,5.63,9.96
49,钢铁,-0.1,2337.63,154.61,-6.55,17,24,6.61,盛德鑫泰,48.12,2.82
50,小家电,-0.13,180.51,33.25,-2.28,7,18,18.42,鸿智科技,14.99,3.67
51,汽车服务及其他,-0.13,157.24,32.15,-2.16,8,17,20.45,永安行,20.06,4.7
52,美容护理,-0.16,205.04,37.7,-2.7,10,22,18.39,水羊股份,22.77,5.37
53,银行,-0.17,2322.09,182.61,-21.76,9,26,7.86,重庆银行,10.65,2.01
54,软件开发,-0.2,1760.88,438.3,-22.51,41,92,24.89,纬德信息,54.28,9.44
55,零售,-0.2,2381.18,154.45,-6.01,26,46,6.49,永辉超市,4.11,3.53
56,文化传媒,-0.25,2562.53,339.83,4.18,26,56,13.26,蓝色光标,18.0,4.65
57,港口航运,-0.26,1277.74,106.42,-7.31,9,23,8.33,国航远洋,10.43,2.96
58,石油加工贸易,-0.28,862.91,78.44,-9.39,9,18,9.09,岳阳兴长,15.73,6.36
59,机场航运,-0.29,766.76,34.71,-4.32,3,8,4.53,中信海直,18.32,0.83
60,农产品加工,-0.29,579.85,57.91,-7.08,13,29,9.99,乖宝宠物,55.09,3.73
61,医疗器械,-0.3,826.63,206.52,-17.44,42,97,24.98,海泰新光,82.23,8.63
62,证券,-0.33,1867.7,217.94,-20.13,8,37,11.67,广发证券,20.11,1.16
63,环境治理,-0.35,1729.8,187.65,-10.22,31,78,10.85,大地海洋,38.7,12.66
64,家居用品,-0.41,767.39,102.49,-6.67,23,75,13.36,创源股份,22.46,10.7
65,物流,-0.44,681.53,71.03,-8.05,15,32,10.42,世盟股份,45.66,4.56
66,种植业与林业,-0.45,646.12,54.38,-8.25,8,22,8.42,华绿生物,32.64,6.15
67,建筑材料,-0.48,1726.87,251.23,-10.09,21,52,14.55,科创新材,13.74,5.21
68,服装家纺,-0.48,905.09,78.86,-5.81,20,54,8.71,安奈儿,22.06,5.1
69,公路铁路运输,-0.56,508.68,27.62,-2.8,5,23,5.43,重庆路桥,6.23,1.63
70,食品加工制造,-0.58,975.17,95.4,-5.35,14,51,9.78,金字火腿,6.4,8.11
71,贸易,-0.67,479.18,33.54,0.76,3,11,7.0,怡亚通,6.12,3.73
72,汽车整车,-0.75,967.84,138.85,-20.47,6,17,14.35,江淮汽车,46.51,2.22
73,保险,-0.84,191.16,76.46,-9.45,1,4,40.0,新华保险,64.27,0.59
74,通信服务,-0.86,2144.77,383.18,-36.95,12,32,17.87,中嘉博创,5.29,5.8
75,贵金属,-0.88,739.57,204.62,-3.71,3,9,27.67,恒邦股份,16.82,1.88
76,教育,-0.96,264.63,19.8,-1.07,4,12,7.48,华图山鼎,53.02,4.06
77,养殖业,-1.01,1221.75,83.91,-5.17,5,32,6.87,天邦食品,3.08,5.12
78,综合,-1.02,488.75,83.58,-15.65,3,13,17.1,宁波联合,7.62,3.39
79,游戏,-1.1,731.45,135.35,-15.81,3,21,18.5,中青宝,14.0,1.6
80,白酒,-1.24,141.04,190.91,-37.21,1,19,135.36,*ST岩石,1.08,4.85
81,生物制品,-1.25,532.8,127.64,-9.31,10,45,23.96,赛伦生物,35.3,3.85
82,农化制品,-1.26,1684.33,223.83,-30.75,13,49,13.29,和邦生物,3.12,4.0
83,油气开采及服务,-1.29,1196.19,106.61,-13.34,5,15,8.91,潜能恒信,38.58,3.96
84,化学制药,-1.46,3165.42,488.96,-58.29,25,133,15.45,昂利康,39.16,10.0
85,煤炭开采加工,-1.46,1247.31,91.03,-14.55,3,30,7.3,新大洲A,5.79,1.76
86,中药,-1.52,1270.51,116.76,-19.41,6,62,9.19,ST香雪,10.33,5.73
87,医药商业,-1.76,858.48,71.41,-12.7,1,31,8.32,百洋医药,26.53,1.18
88,医疗服务,-1.8,894.07,212.47,-19.72,5,50,23.76,数字人,17.46,3.13
89,厨卫电器,-2.32,73.77,9.99,-1.77,0,9,13.54,老板电器,19.99,-0.65
90,旅游及酒店,-2.33,755.99,77.4,-13.67,2,32,10.24,西藏旅游,20.3,1.86
