序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,放量天数,阶段涨跌幅,所属行业
2,601609,金田股份,2.0,10.73,2501.72万,1639.61万(04月09日),6,5.71,工业金属
3,603101,汇嘉时代,1.32,9.95,3924.22万,362.87万(04月09日),6,23.91,零售
4,603220,中贝通信,0.97,32.24,8874.98万,3400.55万(04月09日),6,19.41,通信服务
5,000571,新大洲A,1.76,5.79,2676.26万,1328.56万(04月10日),5,1.94,煤炭开采加工
6,002547,春兴精工,9.9,3.44,6754.45万,2617.87万(04月10日),5,8.86,汽车零部件
7,002564,天沃科技,4.76,6.38,1373.03万,897.52万(04月10日),5,5.11,专用设备
11,600827,百联股份,-1.91,8.23,1149.21万,460.57万(04月10日),5,-2.49,零售
12,601778,晶科科技,3.75,6.91,7.49亿,1.38亿(04月10日),5,36.83,电力
13,603823,百合花,3.33,16.16,682.03万,268.36万(04月10日),5,5.62,化学制品
15,000001,平安银行,-0.72,11.01,6809.15万,4061.04万(04月13日),4,-0.54,银行
16,000034,神州数码,2.12,36.69,2129.22万,1283.76万(04月13日),4,4.89,IT服务
17,000055,方大集团,-2.27,3.44,986.38万,828.05万(04月13日),4,-2.55,建筑材料
18,000060,中金岭南,3.05,6.75,9611.34万,6574.75万(04月13日),4,6.3,工业金属
19,000541,佛山照明,0.0,5.7,576.92万,367.49万(04月13日),4,0.53,光学光电子
20,000581,威孚高科,-7.79,19.19,1215.13万,648.97万(04月13日),4,-8.05,汽车零部件
21,000657,中钨高新,8.13,56.12,1.25亿,6376.99万(04月13日),4,16.07,小金属
22,000751,锌业股份,5.29,5.77,5757.59万,2647.15万(04月13日),4,7.85,工业金属
23,000758,中色股份,1.31,6.95,3687.35万,2426.65万(04月13日),4,3.27,工业金属
24,000825,太钢不锈,0.9,4.51,3242.01万,2413.00万(04月13日),4,2.5,钢铁
25,000859,国风新材,1.87,9.79,2923.15万,2218.76万(04月13日),4,1.77,塑料制品
26,002010,传化智联,2.54,6.05,2585.51万,1371.21万(04月13日),4,4.85,物流
27,002016,世荣兆业,-1.55,5.73,1264.91万,859.07万(04月13日),4,-1.38,房地产
28,002020,京新药业,-3.79,15.25,1578.52万,852.27万(04月13日),4,-3.79,化学制药
29,002119,康强电子,3.85,23.45,4783.14万,1940.70万(04月13日),4,9.38,半导体
30,002237,恒邦股份,1.88,16.82,5851.71万,1694.16万(04月13日),4,12.06,贵金属
31,002292,奥飞娱乐,0.76,7.97,1936.56万,1487.51万(04月13日),4,2.31,影视院线
32,002333,罗普斯金,-7.2,5.93,6141.96万,597.50万(04月13日),4,6.85,建筑材料
33,002362,汉王科技,-0.05,18.86,266.84万,196.05万(04月13日),4,1.02,软件开发
34,002481,双塔食品,-1.11,4.45,1022.87万,609.49万(04月13日),4,-0.89,农产品加工
35,002664,信质集团,2.65,22.07,607.23万,495.20万(04月13日),4,5.75,汽车零部件
36,002721,金一文化,-2.9,3.01,5118.79万,2411.89万(04月13日),4,3.08,服装家纺
37,002734,利民股份,-3.2,17.25,3059.93万,1566.69万(04月13日),4,-0.12,农化制品
38,002808,*ST恒久,-2.88,4.39,836.12万,432.24万(04月13日),4,-2.88,光学光电子
39,002859,洁美科技,8.4,50.22,1603.15万,554.82万(04月13日),4,17.56,其他电子
40,002882,金龙羽,3.48,30.66,1734.92万,347.43万(04月13日),4,13.09,电网设备
41,002892,科力尔,0.36,11.09,478.19万,339.46万(04月13日),4,1.37,电机
42,002931,锋龙股份,0.48,70.5,943.38万,565.85万(04月13日),4,2.47,通用设备
73,600050,中国联通,0.87,4.64,1.40亿,8627.86万(04月13日),4,1.75,通信服务
74,600055,万东医疗,0.82,14.76,288.82万,224.51万(04月13日),4,2.22,医疗器械
75,600113,浙江东日,1.77,47.19,457.37万,220.61万(04月13日),4,1.48,零售
76,600280,中央商场,-0.64,3.12,1744.93万,1105.92万(04月13日),4,-1.27,零售
77,600531,豫光金铅,4.2,14.63,6547.78万,2889.45万(04月13日),4,7.97,工业金属
78,600549,厦门钨业,1.57,62.85,9918.94万,4158.95万(04月13日),4,8.08,小金属
79,601319,中国人保,-1.47,7.38,5243.47万,3859.51万(04月13日),4,-0.4,保险
80,601818,光大银行,-0.62,3.18,1.24亿,8889.67万(04月13日),4,-0.31,银行
81,603078,江化微,0.52,23.28,842.14万,615.87万(04月13日),4,2.19,电子化学品
82,603103,横店影视,4.06,24.09,963.50万,446.06万(04月13日),4,7.45,影视院线
83,603111,康尼机电,0.74,6.84,492.08万,315.47万(04月13日),4,0.74,轨交设备
84,603579,荣泰健康,-1.43,20.03,329.27万,236.62万(04月13日),4,-0.15,小家电
85,603767,中马传动,-0.37,18.68,288.71万,186.03万(04月13日),4,0.32,汽车零部件
86,603916,苏博特,-1.49,10.61,561.83万,432.63万(04月13日),4,-1.39,化学制品
95,000719,中原传媒,2.08,14.22,779.27万,758.69万(04月14日),3,3.19,文化传媒
96,000782,恒申新材,3.1,5.99,2053.53万,1120.93万(04月14日),3,9.51,化学纤维
97,000936,华西股份,10.03,8.34,1315.36万,1257.75万(04月14日),3,10.03,化学纤维
98,001220,世盟股份,4.56,45.66,423.66万,133.62万(04月14日),3,10.18,物流
99,001234,泰慕士,-1.98,27.79,390.64万,301.50万(04月14日),3,5.46,服装家纺
100,001268,联合精密,5.3,33.0,280.10万,95.19万(04月14日),3,14.58,白色家电
101,002062,宏润建设,5.34,8.48,2708.44万,1408.15万(04月14日),3,16.48,建筑装饰
102,002152,广电运通,0.41,12.11,1742.09万,1651.55万(04月14日),3,0.67,计算机设备
103,002194,武汉凡谷,1.41,10.79,1081.60万,691.17万(04月14日),3,1.79,通信设备
104,002206,海利得,-2.5,6.25,1363.50万,1072.30万(04月14日),3,-0.95,化学纤维
105,002242,九阳股份,2.2,10.23,1260.39万,383.64万(04月14日),3,4.71,小家电
106,002337,赛象科技,-1.12,6.16,787.21万,603.72万(04月14日),3,-0.81,专用设备
107,002555,三七互娱,-4.64,22.21,5820.24万,2819.25万(04月14日),3,-0.05,游戏
108,002581,ST未名,1.46,7.65,831.85万,375.27万(04月14日),3,5.37,生物制品
109,002605,姚记科技,-1.23,20.88,563.96万,373.15万(04月14日),3,-0.52,游戏
110,002640,跨境通,-0.85,3.48,3491.12万,3005.72万(04月14日),3,-0.85,互联网电商
111,002708,光洋股份,6.82,14.72,3193.97万,1241.46万(04月14日),3,11.01,汽车零部件
112,002722,物产金轮,-0.34,14.77,212.95万,166.46万(04月14日),3,0.54,专用设备
113,002783,凯龙股份,-1.24,9.56,1179.41万,784.98万(04月14日),3,-0.52,化学制品
114,002830,名雕股份,-1.33,21.45,196.21万,142.63万(04月14日),3,0.42,建筑装饰
115,002845,同兴达,2.3,14.22,531.15万,365.40万(04月14日),3,2.08,光学光电子
116,002880,卫光生物,0.33,27.37,211.07万,151.89万(04月14日),3,2.05,生物制品
117,002992,宝明科技,2.64,51.68,128.04万,121.30万(04月14日),3,0.31,光学光电子
118,003013,地铁设计,-0.75,13.22,143.68万,130.39万(04月14日),3,-0.15,建筑装饰
119,003025,思进智能,-0.79,13.89,413.34万,278.17万(04月14日),3,0.14,通用设备
120,003041,真爱美家,-0.33,57.78,519.85万,284.71万(04月14日),3,11.01,服装家纺
146,600096,云天化,-1.33,33.36,5221.86万,3713.35万(04月14日),3,-0.39,农化制品
147,600278,东方创业,0.0,7.32,583.27万,473.26万(04月14日),3,0.69,贸易
148,600397,江钨装备,1.81,15.15,6138.56万,2777.75万(04月14日),3,3.98,专用设备
149,600405,动力源,-1.88,5.21,1098.16万,1022.21万(04月14日),3,-2.62,其他电源设备
150,600418,江淮汽车,2.22,46.51,3499.94万,2486.08万(04月14日),3,0.58,汽车整车
151,600486,扬农化工,-8.35,71.6,530.89万,451.72万(04月14日),3,-9.42,农化制品
152,600560,金自天正,-1.36,14.48,252.77万,181.80万(04月14日),3,-1.7,专用设备
153,600693,东百集团,2.94,11.91,5262.00万,2756.70万(04月14日),3,5.49,零售
154,600796,钱江生化,-2.79,6.28,783.62万,663.11万(04月14日),3,-0.16,环境治理
155,600993,马应龙,-1.31,24.76,488.72万,263.52万(04月14日),3,-1.59,中药
156,601118,海南橡胶,-2.11,6.49,3320.27万,2936.53万(04月14日),3,-3.99,种植业与林业
157,601166,兴业银行,-1.13,18.4,5586.20万,4820.25万(04月14日),3,-0.92,银行
158,601216,君正集团,-2.24,5.23,7441.43万,5299.53万(04月14日),3,-5.42,化学原料
159,601777,千里科技,-0.6,10.0,1846.64万,1352.63万(04月14日),3,-1.57,汽车整车
160,601868,中国能建,1.04,2.91,7.47亿,4.71亿(04月14日),3,1.75,建筑装饰
161,601928,凤凰传媒,1.53,9.93,651.16万,533.09万(04月14日),3,2.58,文化传媒
162,603006,联明股份,0.68,13.3,226.46万,197.09万(04月14日),3,3.66,汽车零部件
163,603020,爱普股份,1.24,11.45,551.60万,283.65万(04月14日),3,2.42,化学制品
164,603038,华立股份,5.06,16.62,570.47万,233.94万(04月14日),3,9.63,建筑材料
165,603057,紫燕食品,1.57,25.95,315.82万,228.30万(04月14日),3,4.43,食品加工制造
166,603077,和邦生物,4.0,3.12,2.35亿,2.19亿(04月14日),3,3.65,农化制品
167,603081,大丰实业,1.47,12.4,498.42万,421.87万(04月14日),3,1.81,专用设备
168,603100,川仪股份,-1.24,19.9,445.24万,386.52万(04月14日),3,-0.1,通用设备
169,603136,天目湖,-1.83,11.29,496.24万,316.13万(04月14日),3,1.16,旅游及酒店
170,603162,海通发展,0.92,14.31,1426.55万,1094.24万(04月14日),3,3.25,港口航运
171,603210,泰鸿万立,-0.9,16.62,249.79万,192.12万(04月14日),3,-1.19,汽车零部件
172,603223,恒通股份,1.73,8.83,933.75万,375.38万(04月14日),3,6.0,石油加工贸易
173,603257,中国瑞林,3.93,59.5,106.49万,98.94万(04月14日),3,4.62,建筑装饰
174,603286,日盈电子,1.08,62.93,316.67万,212.62万(04月14日),3,2.13,汽车零部件
175,603315,福鞍股份,9.98,18.52,3235.60万,1064.71万(04月14日),3,21.12,环境治理
176,603322,超讯通信,5.05,38.09,1906.19万,337.40万(04月14日),3,17.63,IT服务
177,603507,振江股份,-1.74,45.07,1144.27万,1072.90万(04月14日),3,-2.13,风电设备
178,603515,欧普照明,1.29,20.36,231.22万,182.10万(04月14日),3,5.44,光学光电子
179,603626,科森科技,2.95,24.45,4005.70万,2159.57万(04月14日),3,2.56,消费电子
180,603637,镇海股份,-2.6,14.64,1693.16万,1022.36万(04月14日),3,5.7,建筑装饰
181,603699,纽威股份,-1.61,51.2,684.06万,527.82万(04月14日),3,0.18,通用设备
182,603700,宁水集团,-5.89,12.78,265.72万,215.21万(04月14日),3,-4.98,通用设备
183,603768,常青股份,-0.9,11.07,213.44万,154.28万(04月14日),3,0.82,汽车零部件
184,603838,*ST四通,-1.33,8.88,284.87万,127.60万(04月14日),3,-1.66,家居用品
185,603922,金鸿顺,10.03,21.51,449.58万,345.71万(04月14日),3,9.08,汽车零部件
186,603948,建业股份,1.32,27.6,123.90万,85.64万(04月14日),3,2.15,化学制品
187,605009,豪悦护理,0.28,28.52,89.07万,66.36万(04月14日),3,1.46,美容护理
188,605365,立达信,2.08,25.53,2371.70万,552.04万(04月14日),3,18.63,光学光电子
