序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
1,000761,本钢板材,-1.31,3.02,1353.76万,2464.32万(04月03日),9,2.37,钢铁
2,002972,科安达,-0.69,12.93,341.47万,825.42万(04月09日),6,-1.67,轨交设备
5,600721,百花医药,-1.98,8.92,2216.35万,9299.79万(04月09日),6,-12.55,医疗服务
6,600810,神马股份,0.0,8.64,1622.87万,7663.33万(04月09日),6,-4.53,化学纤维
7,601068,中铝国际,0.32,6.28,1431.50万,4236.46万(04月09日),6,-1.57,建筑装饰
8,601811,新华文轩,-1.32,14.15,808.52万,2565.61万(04月09日),6,-11.17,文化传媒
10,000559,万向钱潮,-1.51,16.29,9279.57万,1.85亿(04月10日),5,-0.18,汽车零部件
11,000592,平潭发展,-1.53,10.94,1.81亿,4.05亿(04月10日),5,-4.29,种植业与林业
12,000753,漳州发展,-0.9,6.58,1789.39万,4669.16万(04月10日),5,-1.5,综合
13,000778,新兴铸管,-0.22,4.46,3458.42万,1.31亿(04月10日),5,0.0,钢铁
14,000909,*ST数源,0.0,6.66,517.05万,1117.00万(04月10日),5,-0.45,房地产
15,001228,永泰运,1.04,33.88,171.18万,412.86万(04月10日),5,-0.73,物流
16,001236,弘业期货,-0.96,9.31,595.95万,1464.43万(04月10日),5,0.11,多元金融
17,002164,宁波东力,-0.31,12.85,738.36万,3162.62万(04月10日),5,-2.87,通用设备
18,002211,ST宏达,-2.75,3.53,550.28万,1011.03万(04月10日),5,-5.36,化学制品
19,002306,*ST云网,0.0,2.41,1650.62万,4964.22万(04月10日),5,-3.21,旅游及酒店
20,002427,尤夫股份,0.15,6.46,1748.92万,5926.77万(04月10日),5,-4.44,化学纤维
21,002492,恒基达鑫,-1.33,7.42,692.99万,1755.57万(04月10日),5,-6.78,物流
22,002945,华林证券,-0.51,15.69,1035.54万,2765.05万(04月10日),5,-1.13,证券
23,003019,宸展光电,-0.95,33.24,461.45万,2209.20万(04月10日),5,-4.4,光学光电子
35,600110,诺德股份,-0.6,9.99,1.98亿,3.09亿(04月10日),5,1.11,电池
36,600232,金鹰股份,0.11,8.8,770.98万,2186.98万(04月10日),5,2.44,纺织制造
37,600863,华能蒙电,-0.85,4.64,5171.55万,1.53亿(04月10日),5,-7.2,电力
38,601519,大智慧,0.47,10.77,2198.99万,4404.74万(04月10日),5,-0.55,软件开发
39,603027,千禾味业,-0.84,9.47,932.40万,2878.11万(04月10日),5,-4.44,食品加工制造
40,603230,内蒙新华,-0.54,11.16,455.33万,3816.28万(04月10日),5,-11.22,文化传媒
41,603284,林平发展,-1.63,56.0,302.62万,669.85万(04月10日),5,-0.43,造纸
42,603727,博迈科,1.18,19.71,623.62万,1111.28万(04月10日),5,-3.0,油气开采及服务
45,000159,国际实业,-1.42,6.23,1089.12万,2085.35万(04月13日),4,-1.89,光伏设备
46,000400,许继电气,-1.46,25.66,3160.37万,9096.02万(04月13日),4,0.0,电网设备
47,000554,泰山石油,-1.0,7.92,2058.60万,5195.44万(04月13日),4,-7.48,石油加工贸易
48,000572,海马汽车,-1.54,5.74,3201.68万,4605.56万(04月13日),4,-1.54,汽车整车
49,000601,韶能股份,-0.15,6.63,6817.49万,1.14亿(04月13日),4,0.0,电力
50,000637,茂化实华,-1.58,4.35,762.63万,1058.92万(04月13日),4,-3.97,石油加工贸易
51,000659,珠海中富,-1.91,4.11,3774.02万,6770.11万(04月13日),4,-4.42,包装印刷
52,000670,盈方微,-0.62,8.07,4718.26万,1.17亿(04月13日),4,-1.71,其他电子
53,000789,万年青,-0.78,5.09,541.57万,751.84万(04月13日),4,-0.59,建筑材料
54,000800,一汽解放,-1.27,7.02,1809.00万,3434.63万(04月13日),4,-2.09,汽车整车
55,000823,超声电子,-0.38,15.8,2221.76万,3656.25万(04月13日),4,3.88,元件
56,000848,承德露露,-0.24,8.16,769.83万,3228.29万(04月13日),4,-1.57,饮料制造
57,000905,厦门港务,-0.72,10.95,1193.36万,2927.16万(04月13日),4,-3.52,港口航运
58,000929,*ST兰黄,0.29,10.19,608.12万,1124.69万(04月13日),4,2.62,饮料制造
59,000993,闽东电力,-0.33,12.18,2143.12万,4359.57万(04月13日),4,-5.43,电力
60,001289,龙源电力,-0.78,15.36,647.32万,1099.62万(04月13日),4,-0.07,电力
61,002165,红宝丽,-0.2,9.73,3264.09万,4472.13万(04月13日),4,-1.02,化学制品
62,002177,御银股份,0.13,7.88,5610.18万,1.55亿(04月13日),4,-1.75,零售
63,002188,中天服务,-0.46,6.5,1387.10万,3802.44万(04月13日),4,0.15,房地产
64,002190,成飞集成,0.22,31.72,373.86万,1340.11万(04月13日),4,-2.88,汽车零部件
65,002196,方正电机,-0.76,14.36,3259.16万,4288.20万(04月13日),4,-2.18,电机
66,002221,东华能源,-0.99,7.97,1430.27万,2880.69万(04月13日),4,-2.21,石油加工贸易
67,002329,皇氏集团,-0.95,4.17,3884.73万,1.48亿(04月13日),4,-4.14,饮料制造
68,002363,隆基机械,0.23,8.52,1304.49万,3245.38万(04月13日),4,1.07,汽车零部件
69,002392,北京利尔,-0.56,7.15,1135.17万,2025.08万(04月13日),4,-1.38,建筑材料
70,002431,棕榈股份,-1.15,2.57,4337.24万,1.13亿(04月13日),4,-4.81,建筑装饰
71,002490,山东墨龙,-1.25,8.69,3771.36万,8900.13万(04月13日),4,-10.6,专用设备
72,002506,协鑫集成,0.45,4.45,4.44亿,6.39亿(04月13日),4,-2.41,光伏设备
73,002529,*ST海源,0.28,7.19,291.82万,709.86万(04月13日),4,1.84,专用设备
74,002600,领益智造,0.36,13.79,7847.39万,1.04亿(04月13日),4,0.29,消费电子
75,002763,汇洁股份,-0.87,8.01,531.77万,742.19万(04月13日),4,-1.48,服装家纺
76,002825,纳尔股份,-0.53,11.23,568.49万,1078.10万(04月13日),4,-0.44,塑料制品
77,002828,贝肯能源,-1.34,11.81,1721.57万,3942.28万(04月13日),4,-9.01,油气开采及服务
78,002909,集泰股份,-1.7,6.37,977.99万,1798.00万(04月13日),4,0.31,化学制品
79,002950,奥美医疗,-2.52,13.16,2701.76万,6355.10万(04月13日),4,-9.8,医疗器械
80,002969,嘉美包装,-1.57,22.57,5080.76万,7477.99万(04月13日),4,-9.72,包装印刷
98,600008,首创环保,-0.33,3.04,5610.36万,1.36亿(04月13日),4,-0.33,环境治理
99,600010,包钢股份,-0.69,2.86,9.24亿,22.31亿(04月13日),4,-4.03,钢铁
100,600246,万通发展,-0.1,9.69,5132.05万,1.99亿(04月13日),4,-2.12,房地产
101,600319,亚星化学,0.14,7.44,374.86万,461.93万(04月13日),4,-2.11,化学原料
102,600352,浙江龙盛,1.31,13.19,4367.90万,9602.20万(04月13日),4,0.61,化学制品
103,600370,三房巷,-1.24,2.4,5090.08万,9483.68万(04月13日),4,-5.14,化学纤维
104,600379,宝光股份,-1.41,11.85,745.77万,2541.95万(04月13日),4,-7.93,电网设备
105,600455,博通股份,-0.51,25.62,151.60万,198.20万(04月13日),4,-1.16,教育
106,600470,六国化工,-1.17,6.78,2542.40万,4378.00万(04月13日),4,-4.91,农化制品
107,600482,中国动力,-2.03,38.21,5295.44万,8974.51万(04月13日),4,-7.26,其他电源设备
108,600617,国新能源,-1.54,3.19,3850.01万,7444.82万(04月13日),4,-6.18,燃气
109,600671,天目药业,-0.15,19.48,254.57万,678.48万(04月13日),4,0.57,中药
110,600817,宇通重工,-1.04,12.33,428.19万,1062.07万(04月13日),4,0.16,环保设备
111,600835,上海机电,0.04,22.88,727.90万,1578.90万(04月13日),4,-1.04,专用设备
112,600897,厦门空港,-0.8,16.23,294.74万,1172.82万(04月13日),4,-3.05,机场航运
113,600969,郴电国际,-0.1,9.84,766.57万,1357.41万(04月13日),4,-1.11,电力
114,601228,广州港,-0.31,3.25,2320.44万,8264.72万(04月13日),4,-1.22,港口航运
115,601518,吉林高速,-0.71,2.8,1516.47万,6780.33万(04月13日),4,-1.41,公路铁路运输
116,601801,皖新传媒,-0.49,6.1,886.09万,3178.97万(04月13日),4,-0.81,文化传媒
117,601908,京运通,0.69,4.4,1.05亿,2.52亿(04月13日),4,-3.72,电力
118,603093,南华期货,1.41,20.18,1186.33万,2630.33万(04月13日),4,5.54,多元金融
119,603421,鼎信通讯,-1.44,8.21,2043.52万,4107.82万(04月13日),4,-5.41,通信设备
120,603800,洪田股份,2.11,47.49,634.11万,1262.82万(04月13日),4,-1.0,专用设备
121,603817,海峡环保,-0.98,7.08,1175.62万,2048.56万(04月13日),4,-0.42,环境治理
122,603825,ST华扬,-1.55,8.25,123.35万,205.43万(04月13日),4,-0.72,文化传媒
123,603833,欧派家居,-0.34,50.6,191.05万,387.87万(04月13日),4,0.46,家居用品
124,603889,新澳股份,2.65,9.3,2333.67万,5561.36万(04月13日),4,3.91,纺织制造
125,605016,百龙创园,-1.57,26.29,572.07万,1136.29万(04月13日),4,-5.36,化学制品
126,605086,龙高股份,0.94,34.52,150.86万,179.76万(04月13日),4,2.28,非金属材料
127,605117,德业股份,2.86,143.99,1980.14万,4213.91万(04月13日),4,-2.01,光伏设备
138,000008,神州高铁,0.37,2.71,5691.88万,7591.52万(04月14日),3,-0.73,轨交设备
139,000009,中国宝安,0.45,8.98,2094.23万,2307.78万(04月14日),3,-0.44,电池
140,000021,深科技,0.8,29.0,6209.95万,8871.51万(04月14日),3,-0.45,消费电子
141,000032,深桑达A,-2.47,18.55,2436.36万,3459.25万(04月14日),3,-0.64,建筑装饰
142,000063,中兴通讯,-0.2,35.33,7156.64万,9419.13万(04月14日),3,-1.4,通信设备
143,000338,潍柴动力,-3.29,26.5,1.20亿,1.41亿(04月14日),3,1.22,汽车零部件
144,000429,粤高速A,-1.17,12.7,368.80万,608.91万(04月14日),3,0.71,公路铁路运输
145,000519,中兵红箭,-0.23,17.76,1871.62万,3080.63万(04月14日),3,-0.84,军工装备
146,000548,湖南投资,-1.7,5.21,784.52万,935.65万(04月14日),3,0.58,公路铁路运输
147,000632,三木集团,-1.99,4.43,1901.70万,3688.74万(04月14日),3,-3.06,综合
148,000682,东方电子,0.38,13.12,2744.32万,6596.61万(04月14日),3,1.0,电网设备
149,000707,双环科技,-0.68,5.84,803.90万,1514.50万(04月14日),3,-1.02,化学原料
150,000708,中信特钢,-0.59,16.74,812.12万,1120.18万(04月14日),3,0.0,钢铁
151,000735,罗牛山,-0.29,6.92,2112.00万,3218.98万(04月14日),3,0.44,养殖业
152,000755,山西高速,-0.97,5.1,401.14万,443.13万(04月14日),3,0.0,公路铁路运输
153,000757,浩物股份,-1.47,4.7,905.67万,1342.15万(04月14日),3,0.21,汽车服务及其他
154,000793,*ST华闻,-2.43,2.81,7475.01万,1.37亿(04月14日),3,-4.75,文化传媒
155,000812,陕西金叶,-1.25,3.95,1071.63万,1236.04万(04月14日),3,-1.25,包装印刷
156,000839,国安股份,-1.24,3.18,6452.15万,8910.80万(04月14日),3,-2.75,通信服务
157,000876,新希望,-1.24,8.8,4746.70万,9091.87万(04月14日),3,-1.46,农产品加工
158,000893,亚钾国际,-3.58,54.38,1819.13万,4002.33万(04月14日),3,0.61,农化制品
159,000898,鞍钢股份,-0.43,2.33,2904.00万,4438.34万(04月14日),3,-0.43,钢铁
160,000917,电广传媒,0.1,9.9,3137.24万,4042.70万(04月14日),3,-0.4,文化传媒
161,000949,新乡化纤,-1.61,7.31,4577.10万,8434.63万(04月14日),3,-0.81,化学纤维
162,001201,东瑞股份,-2.07,13.22,661.48万,1286.69万(04月14日),3,-1.93,养殖业
163,001213,中铁特货,-0.25,4.03,1185.57万,1441.12万(04月14日),3,0.0,公路铁路运输
164,001314,亿道信息,-0.09,43.56,122.49万,212.95万(04月14日),3,0.3,消费电子
165,001368,通达创智,-0.81,27.98,286.58万,574.42万(04月14日),3,0.9,家居用品
166,001872,招商港口,-0.74,21.43,226.48万,287.51万(04月14日),3,0.14,港口航运
167,002012,凯恩股份,-1.41,7.0,1550.24万,3413.18万(04月14日),3,-0.57,造纸
168,002046,国机精工,1.11,50.1,1507.55万,2816.13万(04月14日),3,2.35,通用设备
169,002077,大港股份,0.25,16.16,1576.18万,2036.33万(04月14日),3,-0.37,半导体
170,002130,沃尔核材,0.2,25.62,3851.09万,5759.93万(04月14日),3,-0.08,其他电子
171,002138,顺络电子,-0.81,35.45,1939.64万,2804.83万(04月14日),3,0.0,元件
172,002150,正泰电源,-1.99,30.55,2224.37万,4323.09万(04月14日),3,-6.89,光伏设备
173,002151,北斗星通,0.26,38.48,1274.95万,1861.04万(04月14日),3,0.03,军工电子
174,002158,汉钟精机,-0.28,24.66,404.50万,665.02万(04月14日),3,-1.36,通用设备
175,002176,江特电机,-1.42,11.12,1.25亿,1.54亿(04月14日),3,-1.42,电机
176,002178,延华智能,-1.3,6.06,1144.44万,1389.96万(04月14日),3,-1.46,软件开发
177,002197,证通电子,-2.68,8.0,3407.19万,4446.67万(04月14日),3,2.96,IT服务
178,002223,鱼跃医疗,-0.4,32.8,622.17万,855.60万(04月14日),3,-0.7,医疗器械
179,002230,科大讯飞,0.29,48.24,3513.50万,3662.68万(04月14日),3,-0.19,软件开发
180,002241,歌尔股份,-0.12,24.19,6131.56万,6620.57万(04月14日),3,-1.22,消费电子
181,002256,兆新股份,-0.96,4.11,9036.46万,2.27亿(04月14日),3,-2.84,电力
182,002293,罗莱生活,-1.55,10.17,478.40万,766.88万(04月14日),3,0.59,服装家纺
183,002321,华英农业,-2.23,2.19,9545.01万,1.67亿(04月14日),3,-4.37,养殖业
184,002326,永太科技,-0.2,24.67,3587.28万,6107.61万(04月14日),3,-1.52,化学制品
185,002350,北京科锐,-1.58,13.72,2146.22万,3227.06万(04月14日),3,-1.15,电网设备
186,002399,海普瑞,-2.03,11.12,345.35万,443.85万(04月14日),3,-1.94,化学制药
187,002405,四维图新,-0.22,9.12,5832.09万,6294.29万(04月14日),3,0.0,软件开发
188,002407,多氟多,-0.3,30.01,9776.93万,1.24亿(04月14日),3,-2.82,化学制品
189,002409,雅克科技,-0.26,85.9,959.19万,1218.89万(04月14日),3,-2.49,半导体
190,002418,康盛股份,9.95,6.19,2.64亿,3.75亿(04月14日),3,1.48,白色家电
