序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
191,002438,江苏神通,-0.78,16.63,602.93万,1427.00万(04月14日),3,0.48,通用设备
192,002443,金洲管道,0.43,9.43,2536.80万,4141.79万(04月14日),3,1.07,钢铁
193,002445,中南文化,-1.17,3.38,1.19亿,1.33亿(04月14日),3,-0.88,通用设备
194,002461,珠江啤酒,-0.41,9.72,993.03万,1980.47万(04月14日),3,2.1,饮料制造
195,002479,富春环保,-2.28,5.58,2851.22万,3792.79万(04月14日),3,-5.42,电力
196,002482,广田集团,-1.19,1.66,3467.65万,4626.98万(04月14日),3,-2.92,建筑装饰
197,002484,江海股份,-2.39,33.03,5803.28万,9256.82万(04月14日),3,-1.08,元件
198,002512,ST达华,-2.19,4.01,4993.18万,1.02亿(04月14日),3,-5.65,计算机设备
199,002521,齐峰新材,-1.14,8.65,979.00万,2388.98万(04月14日),3,-4.31,造纸
200,002522,浙江众成,0.32,6.19,3356.88万,7451.84万(04月14日),3,-1.28,塑料制品
201,002542,中化岩土,0.98,2.05,1.59亿,2.64亿(04月14日),3,-5.09,建筑装饰
202,002544,普天科技,0.52,27.08,1101.11万,1518.16万(04月14日),3,0.71,通信服务
203,002546,新联电子,-2.18,8.97,3191.28万,4596.60万(04月14日),3,-4.78,电网设备
204,002553,南方精工,-0.98,25.24,865.88万,1967.65万(04月14日),3,-3.48,汽车零部件
205,002567,唐人神,-1.86,4.23,2994.95万,6870.77万(04月14日),3,-1.17,农产品加工
206,002582,好想你,-0.41,12.21,3223.00万,5500.42万(04月14日),3,-2.71,食品加工制造
207,002593,日上集团,-0.94,5.28,1381.88万,2570.18万(04月14日),3,-0.38,汽车零部件
208,002622,皓宸医疗,-1.59,2.47,2543.96万,4102.39万(04月14日),3,0.41,医疗服务
209,002625,光启技术,-0.23,39.87,2030.50万,4115.92万(04月14日),3,-1.99,军工装备
210,002638,勤上股份,-1.05,4.69,5488.00万,1.26亿(04月14日),3,-0.42,光学光电子
211,002650,ST加加,-1.09,7.26,1119.39万,3242.54万(04月14日),3,-6.8,食品加工制造
212,002658,雪迪龙,-1.17,8.43,758.76万,861.63万(04月14日),3,-0.94,环保设备
213,002678,珠江钢琴,-2.37,5.76,2198.13万,5121.63万(04月14日),3,-2.54,家居用品
214,002741,光华科技,1.56,19.54,1613.57万,2534.96万(04月14日),3,-0.81,电子化学品
215,002773,康弘药业,-2.42,26.62,1264.42万,2109.97万(04月14日),3,-1.92,生物制品
216,002789,*ST建艺,-1.37,12.92,218.17万,494.28万(04月14日),3,-0.23,建筑装饰
217,002858,力盛体育,0.0,16.15,774.32万,1083.71万(04月14日),3,3.79,其他社会服务
218,002861,瀛通通讯,-0.13,15.88,401.22万,766.92万(04月14日),3,-0.44,消费电子
219,002888,惠威科技,-0.16,18.98,199.93万,367.85万(04月14日),3,-0.37,消费电子
220,002901,大博医疗,-0.77,43.78,140.44万,354.96万(04月14日),3,-1.97,医疗器械
221,002911,佛燃能源,-0.66,13.59,1021.83万,2403.24万(04月14日),3,-1.81,燃气
222,002956,西麦食品,-1.01,27.47,228.86万,531.74万(04月14日),3,1.55,食品加工制造
223,002957,科瑞技术,10.0,45.97,3505.83万,5651.80万(04月14日),3,12.89,自动化设备
224,002960,青鸟消防,-0.74,12.08,1077.10万,1263.72万(04月14日),3,-1.71,专用设备
225,002968,新大正,-0.67,11.85,239.29万,303.87万(04月14日),3,-0.59,房地产
226,002971,和远气体,-0.77,29.8,264.09万,409.88万(04月14日),3,-1.94,化学制品
227,002982,湘佳股份,-1.67,14.13,364.89万,583.60万(04月14日),3,-0.98,养殖业
228,003001,中岩大地,0.47,17.08,340.71万,662.60万(04月14日),3,1.79,建筑装饰
308,600022,山东钢铁,0.0,1.51,7660.43万,1.32亿(04月14日),3,-0.66,钢铁
309,600032,浙江新能,-0.92,9.75,6562.09万,1.23亿(04月14日),3,-0.51,电力
310,600038,中直股份,-0.18,34.06,474.37万,538.68万(04月14日),3,-0.18,军工装备
311,600063,皖维高新,-1.26,7.03,4110.50万,7135.73万(04月14日),3,-4.35,化学纤维
312,600078,澄星股份,-1.36,13.01,2987.44万,4990.50万(04月14日),3,-4.2,农化制品
313,600085,同仁堂,-0.75,27.73,424.78万,550.66万(04月14日),3,-1.11,中药
314,600100,同方股份,0.73,8.33,4517.83万,5941.21万(04月14日),3,0.12,计算机设备
315,600101,明星电力,0.11,9.3,1334.02万,1894.51万(04月14日),3,0.32,电力
316,600128,苏豪弘业,-0.66,10.53,390.42万,561.99万(04月14日),3,-0.09,贸易
317,600149,廊坊发展,-1.37,5.76,2128.12万,2483.78万(04月14日),3,-2.21,电力
318,600153,建发股份,0.45,9.0,1360.53万,1971.31万(04月14日),3,1.81,物流
319,600157,永泰能源,-1.18,1.68,5.82亿,6.34亿(04月14日),3,-2.33,电力
320,600160,巨化股份,-0.91,33.79,3471.84万,4806.59万(04月14日),3,-4.39,化学制品
321,600165,ST宁科,-0.83,3.57,623.87万,1759.01万(04月14日),3,-2.72,化学制品
322,600178,东安动力,-0.09,11.39,387.92万,524.04万(04月14日),3,-0.78,汽车零部件
323,600195,中牧股份,-1.76,7.82,2275.90万,3630.63万(04月14日),3,-2.37,养殖业
324,600241,时代万恒,-1.71,9.79,887.93万,1872.71万(04月14日),3,-3.55,电池
325,600282,南钢股份,0.53,5.73,2741.45万,3563.57万(04月14日),3,1.06,钢铁
326,600299,安迪苏,-1.13,14.05,2342.82万,3801.54万(04月14日),3,-7.38,化学制品
327,600303,曙光股份,-1.3,3.04,1927.98万,2108.37万(04月14日),3,-2.25,汽车整车
328,600307,酒钢宏兴,-1.09,1.81,8505.81万,9965.51万(04月14日),3,-1.09,钢铁
329,600315,上海家化,-1.01,20.56,316.53万,615.32万(04月14日),3,-0.29,美容护理
330,600328,中盐化工,-0.47,8.54,2634.79万,3403.35万(04月14日),3,-0.81,化学原料
331,600330,天通股份,10.03,21.73,1.25亿,2.03亿(04月14日),3,5.43,电子化学品
332,600337,美克家居,-0.58,3.43,1.13亿,2.24亿(04月14日),3,4.26,家居用品
333,600343,航天动力,1.1,35.67,5155.03万,1.03亿(04月14日),3,5.0,通用设备
334,600350,山东高速,0.49,10.22,485.14万,827.50万(04月14日),3,3.44,公路铁路运输
335,600423,柳化股份,-4.58,2.71,6866.00万,1.23亿(04月14日),3,-9.06,化学原料
336,600429,三元股份,-1.03,5.77,1659.05万,3247.26万(04月14日),3,-0.17,饮料制造
337,600478,科力远,0.52,7.71,4836.69万,5870.07万(04月14日),3,0.13,电池
338,600502,安徽建工,2.06,5.95,5835.95万,7957.45万(04月14日),3,2.23,建筑装饰
339,600533,栖霞建设,-2.02,2.42,2212.57万,2520.88万(04月14日),3,-6.2,房地产
340,600570,恒生电子,-0.34,26.63,2053.63万,2530.12万(04月14日),3,-1.11,软件开发
341,600596,新安股份,-1.47,12.1,2194.27万,3104.40万(04月14日),3,-3.2,农化制品
342,600604,市北高新,0.2,4.88,726.02万,1058.63万(04月14日),3,-1.21,房地产
343,600606,绿地控股,-0.67,1.48,9378.97万,1.70亿(04月14日),3,-3.9,房地产
344,600639,浦东金桥,-0.54,11.16,869.80万,1876.33万(04月14日),3,-2.02,房地产
345,600653,申华控股,-1.13,1.75,1522.87万,2454.79万(04月14日),3,-2.78,汽车服务及其他
346,600660,福耀玻璃,-0.61,58.79,1010.76万,1337.23万(04月14日),3,0.38,汽车零部件
347,600667,太极实业,-0.3,9.95,1.19亿,2.74亿(04月14日),3,-2.36,建筑装饰
348,600685,中船防务,0.89,29.63,1549.46万,2760.02万(04月14日),3,0.68,军工装备
349,600726,华电能源,-2.81,4.49,1.80亿,3.61亿(04月14日),3,-10.02,煤炭开采加工
350,600739,辽宁成大,-0.34,11.67,719.96万,1005.16万(04月14日),3,-0.85,生物制品
351,600801,华新建材,-0.56,23.01,906.64万,1729.77万(04月14日),3,1.95,建筑材料
352,600815,厦工股份,-1.22,4.06,7471.65万,1.85亿(04月14日),3,-2.64,工程机械
353,600816,建元信托,-0.78,2.54,2748.40万,3251.50万(04月14日),3,-1.55,多元金融
354,600825,新华传媒,-0.84,5.93,959.06万,2513.20万(04月14日),3,-2.47,文化传媒
355,600881,亚泰集团,-1.26,1.57,2255.23万,3515.23万(04月14日),3,-2.48,综合
356,600908,无锡银行,-0.35,5.65,970.56万,1371.01万(04月14日),3,0.18,银行
357,600959,江苏有线,0.97,4.15,1.02亿,2.65亿(04月14日),3,-0.72,文化传媒
358,600982,宁波能源,-1.4,5.62,6923.34万,1.61亿(04月14日),3,-2.94,电力
359,601021,春秋航空,-0.61,47.43,568.34万,757.73万(04月14日),3,0.06,机场航运
360,601038,一拖股份,-1.71,12.67,683.40万,950.81万(04月14日),3,-1.17,专用设备
361,601088,中国神华,0.04,45.55,2751.44万,3015.77万(04月14日),3,-0.24,煤炭开采加工
362,601101,昊华能源,-2.04,8.18,1063.59万,1997.09万(04月14日),3,-1.56,煤炭开采加工
363,601117,中国化学,-1.04,8.57,9552.65万,1.18亿(04月14日),3,-3.05,建筑装饰
364,601169,北京银行,-0.18,5.42,7785.69万,9762.25万(04月14日),3,-0.18,银行
365,601198,东兴证券,-0.38,12.96,1532.64万,2297.96万(04月14日),3,-0.92,证券
366,601686,友发集团,0.51,5.89,423.78万,567.48万(04月14日),3,1.38,钢铁
367,601816,京沪高铁,0.0,4.93,1.08亿,1.18亿(04月14日),3,0.0,公路铁路运输
368,603028,赛福天,-0.35,8.51,423.02万,475.10万(04月14日),3,0.59,通用设备
369,603036,如通股份,-0.28,18.13,226.67万,488.91万(04月14日),3,-0.11,专用设备
370,603068,博通集成,0.36,32.97,169.19万,243.94万(04月14日),3,-0.54,半导体
371,603112,华翔股份,-0.78,20.25,1310.32万,2087.39万(04月14日),3,2.27,白色家电
372,603113,金能科技,0.14,7.17,2196.26万,2383.17万(04月14日),3,-4.78,化学原料
373,603126,中材节能,-1.86,7.9,1010.77万,1300.17万(04月14日),3,-3.42,环境治理
374,603131,上海沪工,0.38,21.19,632.65万,836.14万(04月14日),3,0.52,通用设备
375,603132,金徽股份,1.87,19.03,850.75万,1785.25万(04月14日),3,3.42,工业金属
376,603135,中重科技,0.73,11.02,255.71万,476.90万(04月14日),3,-0.54,专用设备
377,603158,腾龙股份,0.84,13.26,4655.64万,6641.02万(04月14日),3,-1.49,汽车零部件
378,603167,渤海轮渡,-0.97,9.22,417.62万,591.90万(04月14日),3,0.33,港口航运
379,603183,建研院,-0.86,4.59,1242.30万,1651.13万(04月14日),3,2.46,其他社会服务
380,603205,健尔康,-0.69,25.8,54.91万,73.21万(04月14日),3,0.08,医疗器械
381,603236,移远通信,-0.93,77.0,460.74万,612.88万(04月14日),3,-1.22,通信设备
382,603239,浙江仙通,-0.86,24.17,418.61万,988.95万(04月14日),3,-0.62,汽车零部件
383,603248,锡华科技,-1.44,26.72,1080.84万,1750.40万(04月14日),3,-0.89,风电设备
384,603290,斯达半导,-0.2,99.46,434.79万,492.96万(04月14日),3,-2.55,半导体
385,603297,永新光学,1.78,112.69,144.52万,209.38万(04月14日),3,2.84,光学光电子
386,603299,苏盐井神,-0.18,11.22,546.51万,911.03万(04月14日),3,-0.18,化学原料
387,603318,水发燃气,1.18,7.7,2142.17万,3629.18万(04月14日),3,-2.9,燃气
388,603321,梅轮电梯,-1.34,7.34,348.11万,367.19万(04月14日),3,-0.27,专用设备
389,603333,尚纬股份,-1.02,7.76,598.32万,949.31万(04月14日),3,-1.77,电网设备
390,603341,龙旗科技,-0.2,38.95,647.72万,819.34万(04月14日),3,-0.87,消费电子
391,603360,百傲化学,0.68,26.69,823.89万,1158.55万(04月14日),3,-1.07,农化制品
392,603363,傲农生物,-1.67,4.13,5417.54万,1.33亿(04月14日),3,-3.73,农产品加工
393,603477,巨星农牧,-1.33,18.59,2299.17万,3751.47万(04月14日),3,-0.8,养殖业
394,603520,司太立,-1.44,10.94,2229.80万,3985.75万(04月14日),3,-2.06,化学制药
395,603528,多伦科技,-0.48,8.2,637.92万,1110.84万(04月14日),3,-1.09,软件开发
396,603533,掌阅科技,-1.09,25.48,1893.23万,3982.30万(04月14日),3,-1.39,文化传媒
397,603559,ST通脉,0.56,7.16,228.78万,300.38万(04月14日),3,-0.14,通信服务
398,603577,汇金通,-1.43,11.01,845.35万,1140.16万(04月14日),3,-0.63,电网设备
399,603586,金麒麟,0.06,18.34,156.37万,228.69万(04月14日),3,0.22,汽车零部件
400,603598,引力传媒,-0.38,21.23,1807.39万,3049.39万(04月14日),3,-0.56,文化传媒
401,603608,天创时尚,-0.69,11.58,1467.55万,2379.22万(04月14日),3,1.4,服装家纺
402,603682,锦和商管,0.14,7.26,3137.91万,5730.15万(04月14日),3,3.57,零售
403,603683,晶华新材,1.19,29.0,1525.28万,1734.24万(04月14日),3,2.76,化学制品
404,603788,宁波高发,-0.57,15.72,157.54万,197.69万(04月14日),3,1.42,汽车零部件
405,603860,中公高科,-1.13,31.47,110.08万,133.74万(04月14日),3,0.54,建筑装饰
406,603861,白云电器,0.36,16.51,1575.77万,2256.87万(04月14日),3,-0.24,电网设备
407,603898,好莱客,-1.12,13.25,240.89万,465.98万(04月14日),3,-0.97,家居用品
408,603903,中持股份,-0.76,11.8,274.66万,725.10万(04月14日),3,-2.32,环境治理
409,603929,亚翔集成,-0.23,186.63,666.04万,940.83万(04月14日),3,-1.95,建筑装饰
410,603949,雪龙集团,-0.91,18.51,819.74万,1144.68万(04月14日),3,-0.96,汽车零部件
411,603968,醋化股份,-1.86,11.62,564.64万,997.00万(04月14日),3,-3.65,化学制品
412,603989,艾华集团,-0.05,19.5,751.87万,1680.92万(04月14日),3,-2.16,元件
413,603997,继峰股份,1.07,13.17,994.70万,1925.52万(04月14日),3,5.87,汽车零部件
414,605005,合兴股份,-0.57,20.84,437.79万,753.46万(04月14日),3,-1.79,汽车零部件
415,605162,新中港,-2.3,12.74,3947.20万,4054.59万(04月14日),3,-9.32,电力
416,605296,神农集团,-2.28,30.06,320.16万,644.01万(04月14日),3,-1.15,养殖业
